sch,sch_dep,sch_par,sid,story_dep,story_par,text
6	Morgan	Morgan	_	NNP	_	16	nsubj	_	_
7	,	,	_	,	_	6	punct	_	_
8	who	who	_	WP	_	12	nsubj	_	_
9	was	be	_	VBD	_	12	cop	_	_
10	still	still	_	RB	_	12	advmod	_	_
11	in	in	_	IN	_	12	case	_	_
12	diapers	diaper	_	NNS	_	6	acl:relcl	_	_
13	,	,	_	,	_	6	punct	_	_
14	would	would	_	MD	_	16	aux	_	_
15	n't	not	_	RB	_	16	neg	_	_
16	find	find	_	VB	_	2	ccomp	_	_
17	the	the	_	DT	_	18	det	_	_
18	flowers	flower	_	NNS	_	16	dobj	_	_
19	and	and	_	CC	_	16	cc	_	_
20	eat	eat	_	VB	_	16	conj	_	_
21	them	they	_	PRP	_	20	dobj	_	_
22	.	.	_	.	_	2	punct	_	_

1	Kelly	Kelly	_	NNP	_	3	nsubjpass	_	_
2	was	be	_	VBD	_	3	auxpass	_	_
3	worried	worry	_	VBN	_	0	root	_	_
4	,	,	_	,	_	3	punct	_	_
5	so	so	_	IN	_	3	dep	_	_
6	she	she	_	PRP	_	7	nsubj	_	_
7	hid	hide	_	VBD	_	3	parataxis	_	_
8	them	they	_	PRP	_	7	dobj	_	_
9	in	in	_	IN	_	12	case	_	_
10	a	a	_	DT	_	12	det	_	_
11	new	new	_	JJ	_	12	amod	_	_
12	spot	spot	_	NN	_	7	nmod	_	_
13	that	that	_	WDT	_	16	nsubj	_	_
14	was	be	_	VBD	_	16	cop	_	_
15	up	up	_	RB	_	16	advmod	_	_
16	higher	higher	_	JJR	_	12	acl:relcl	_	_
17	.	.	_	.	_	3	punct	_	_

1	Finally	finally	_	RB	_	5	advmod	_	_
2	,	,	_	,	_	5	punct	_	_
3	her	she	_	PRP$	_	4	nmod:poss	_	_
4	mother	mother	_	NN	_	5	nsubj	_	_
5	woke	wake	_	VBD	_	0	root	_	_
6	up	up	_	RP	_	5	compound:prt	_	_
7	at	at	_	IN	_	9	case	_	_
8	8:30	8:30	_	CD	_	9	nummod	_	_
9	AM	AM	_	NNP	_	5	nmod	_	_
10	,	,	_	,	_	5	punct	_	_
11	and	and	_	CC	_	5	cc	_	_
12	Kelly	Kelly	_	NNP	_	14	nsubjpass	_	_
13	was	be	_	VBD	_	14	auxpass	_	_
14	excited	excite	_	VBN	_	5	conj	_	_
15	!	!	_	.	_	5	punct	_	_

1	Kelly	Kelly	_	NNP	_	2	nsubj	_	_
2	gave	give	_	VBD	_	0	root	_	_
3	her	she	_	PRP$	_	4	nmod:poss	_	_
4	mother	mother	_	NN	_	2	dobj	_	_
5	the	the	_	DT	_	6	det	_	_
6	flowers	flower	_	NNS	_	2	dobj	_	_
7	.	.	_	.	_	2	punct	_	_

1	Her	she	_	PRP$	_	2	nmod:poss	_	_
2	mother	mother	_	NN	_	4	nmod:poss	_	_
3	's	's	_	POS	_	2	case	_	_
4	favorite	favorite	_	NN	_	8	nsubj	_	_
5	was	be	_	VBD	_	8	cop	_	_
6	the	the	_	DT	_	8	det	_	_
7	red	red	_	JJ	_	8	amod	_	_
8	one	one	_	CD	_	0	root	_	_
9	.	.	_	.	_	8	punct	_	_

","(ROOT (S (NP (NNP Kelly)) (VP (VP (VBD woke) (PRT (RP up)) (NP (CD one)) (NP-TMP (NN morning))) (CC and) (VP (VBD went) (ADVP (IN outside)) (PP (TO to) (NP (PRP$ her) (NN back) (NN yard))))) (. .)))
(ROOT (S (S (NP (PRP She)) (VP (VBD was) (PP (IN in) (NP (DT a) (NN hurry))) (SBAR (IN because) (S (NP (PRP it)) (VP (VBD was) (NP (NP (NNP Mother) (POS 's)) (NN Day))))))) (CC and) (S (NP (PRP she)) (VP (VBD had) (S (VP (TO to) (VP (VB collect) (NP (NNS flowers)) (SBAR (IN before) (S (NP (PRP$ her) (NN mom)) (VP (VBD woke) (PRT (RP up)) (S (VP (TO to) (VP (VB give) (PP (TO to) (NP (PRP$ her))) (PP (IN as) (NP (DT a) (JJ present)))))))))))))) (. .)))
(ROOT (S (NP (PRP She)) (VP (VBD was) (VP (VBG going) (S (VP (TO to) (VP (VB give) (NP (PRP$ her) (NN mom)) (NP (NP (DT the) (JJS biggest) (, ,) (ADJP (RBS most) (JJ beautiful)) (NN bunch)) (PP (IN of) (NP (NP (NNS flowers)) (SBAR (S (NP (PRP$ her) (NN mother)) (VP (VBD had) (ADVP (RB ever)) (VP (VBN seen))))))))))))) (. .)))
(ROOT (S (NP (PRP She)) (VP (VBD knew) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (JJS best) (NNS flowers)) (VP (VBD were) (PP (IN in) (NP (PRP$ her) (NN yard))))))) (. .)))
(ROOT (S (NP (PRP She)) (VP (VBD got) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (JJ different) (VBN sized) (NNS flowers))))) (. .)))
(ROOT (S (S (NP (DT The) (JJ red) (NNS ones)) (VP (VBD were) (ADJP (JJ big)))) (PRN (, ,) (S (NP (DT the) (JJ orange) (NNS ones)) (VP (VBD were) (ADJP (JJ small)))) (, ,)) (CC and) (S (NP (DT the) (JJ green) (NNS ones)) (VP (VBD were) (PP (IN in) (NP (DT the) (NN middle))))) (. .)))
(ROOT (S (SBAR (IN After) (S (NP (NNP Kelly)) (VP (VBD collected) (NP (NP (DT all)) (PP (IN of) (NP (DT the) (NNS flowers))))))) (, ,) (NP (PRP she)) (VP (VP (VBD went) (ADVP (RB inside))) (CC and) (VP (VBD tied) (NP (PRP them)) (PP (ADVP (RB together)) (IN with) (NP (NN string))))) (. .)))
(ROOT (S (PP (IN After) (NP (DT that))) (, ,) (NP (PRP she)) (VP (VBD had) (S (VP (TO to) (VP (VB hide) (NP (DT the) (NNS flowers)) (PP (IN in) (NP (DT a) (JJ secret) (NN spot))))))) (. .)))
(ROOT (S (NP (PRP She)) (VP (VBD hoped) (NP (PRP$ her) (NN baby) (NN sister)) (SBAR (S (NP (NP (NNP Morgan)) (, ,) (SBAR (WHNP (WP who)) (S (VP (VBD was) (ADVP (RB still)) (PP (IN in) (NP (NNS diapers)))))) (, ,)) (VP (MD would) (RB n't) (VP (VP (VB find) (NP (DT the) (NNS flowers))) (CC and) (VP (VB eat) (NP (PRP them)))))))) (. .)))
(ROOT (S (S (NP (NNP Kelly)) (VP (VBD was) (VP (VBN worried)))) (, ,) (IN so) (S (NP (PRP she)) (VP (VBD hid) (NP (PRP them)) (PP (IN in) (NP (NP (DT a) (JJ new) (NN spot)) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (ADVP (RB up) (JJR higher))))))))) (. .)))
(ROOT (S (ADVP (RB Finally)) (, ,) (S (NP (PRP$ her) (NN mother)) (VP (VBD woke) (PRT (RP up)) (PP (IN at) (NP (NP (CD 8:30)) (NP (NNP AM)))))) (, ,) (CC and) (S (NP (NNP Kelly)) (VP (VBD was) (VP (VBN excited)))) (. !)))
(ROOT (S (NP (NNP Kelly)) (VP (VBD gave) (NP (PRP$ her) (NN mother)) (NP (DT the) (NNS flowers))) (. .)))
(ROOT (S (NP (NP (PRP$ Her) (NN mother) (POS 's)) (NN favorite)) (VP (VBD was) (NP (DT the) (JJ red) (CD one))) (. .)))
","Kelly woke up one morning and went outside to her back yard. She was in a hurry because it was Mother's Day and she had to collect flowers before her mom woke up to give to her as a present. She was going to give her mom the biggest, most beautiful bunch of flowers her mother had ever seen. She knew where the best flowers were in her yard. She got a lot of different sized flowers. The red ones were big, the orange ones were small, and the green ones were in the middle. After Kelly collected all of the flowers, she went inside and tied them together with string. After that, she had to hide the flowers in a secret spot. She hoped her baby sister Morgan, who was still in diapers, wouldn't find the flowers and eat them. Kelly was worried, so she hid them in a new spot that was up higher. Finally, her mother woke up at 8:30 AM, and Kelly was excited! Kelly gave her mother the flowers. Her mother's favorite was the red one.
"
"An eagle swooped toward a serpent and seized it in order for he to devour it.  
The eagle fought with the serpent, and the serpent coiled around him.  
A countryman who owned a drinking vessel tried to help the eagle to escape.  
The eagle escaped, and the countryman freed the eagle from the serpent.  
The serpent spat some poison in the drinking vessel.  
The countryman decided to sip from the drinking vessel.  
The eagle spilled the drinking vessel.  
","1	An	a	_	DT	_	2	det	_	_
2	eagle	eagle	_	NN	_	3	nsubj	_	_
3	swooped	swoop	_	VBD	_	0	root	_	_
4	toward	toward	_	IN	_	6	case	_	_
5	a	a	_	DT	_	6	det	_	_
6	serpent	serpent	_	NN	_	3	nmod	_	_
7	and	and	_	CC	_	3	cc	_	_
8	seized	seize	_	VBD	_	3	conj	_	_
9	it	it	_	PRP	_	8	dobj	_	_
10	in	in	_	IN	_	15	mark	_	_
11	order	order	_	NN	_	10	mwe	_	_
12	for	for	_	IN	_	15	mark	_	_
13	he	he	_	PRP	_	15	nsubj	_	_
14	to	to	_	TO	_	15	mark	_	_
15	devour	devour	_	VB	_	8	advcl	_	_
16	it	it	_	PRP	_	15	dobj	_	_
17	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	eagle	eagle	_	NN	_	3	nsubj	_	_
3	fought	fight	_	VBN	_	0	root	_	_
4	with	with	_	IN	_	6	case	_	_
5	the	the	_	DT	_	6	det	_	_
6	serpent	serpent	_	NN	_	3	nmod	_	_
7	,	,	_	,	_	3	punct	_	_
8	and	and	_	CC	_	3	cc	_	_
9	the	the	_	DT	_	10	det	_	_
10	serpent	serpent	_	NN	_	3	conj	_	_
11	coiled	coil	_	VBN	_	10	acl	_	_
12	around	around	_	IN	_	13	case	_	_
13	him	he	_	PRP	_	11	nmod	_	_
14	.	.	_	.	_	3	punct	_	_

1	A	a	_	DT	_	2	det	_	_
2	countryman	countryman	_	NN	_	8	nsubj	_	_
3	who	who	_	WP	_	4	nsubj	_	_
4	owned	own	_	VBD	_	2	acl:relcl	_	_
5	a	a	_	DT	_	7	det	_	_
6	drinking	drinking	_	NN	_	7	compound	_	_
7	vessel	vessel	_	NN	_	4	dobj	_	_
8	tried	try	_	VBD	_	0	root	_	_
9	to	to	_	TO	_	10	mark	_	_
10	help	help	_	VB	_	8	xcomp	_	_
11	the	the	_	DT	_	12	det	_	_
12	eagle	eagle	_	NN	_	10	dobj	_	_
13	to	to	_	TO	_	14	mark	_	_
14	escape	escape	_	VB	_	10	xcomp	_	_
15	.	.	_	.	_	8	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	eagle	eagle	_	NN	_	3	nsubj	_	_
3	escaped	escape	_	VBD	_	0	root	_	_
4	,	,	_	,	_	3	punct	_	_
5	and	and	_	CC	_	3	cc	_	_
6	the	the	_	DT	_	7	det	_	_
7	countryman	countryman	_	NN	_	8	nsubj	_	_
8	freed	free	_	VBN	_	3	conj	_	_
9	the	the	_	DT	_	10	det	_	_
10	eagle	eagle	_	NN	_	8	dobj	_	_
11	from	from	_	IN	_	13	case	_	_
12	the	the	_	DT	_	13	det	_	_
13	serpent	serpent	_	NN	_	8	nmod	_	_
14	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	serpent	serpent	_	NN	_	3	nsubj	_	_
3	spat	spit	_	VBD	_	0	root	_	_
4	some	some	_	DT	_	5	det	_	_
5	poison	poison	_	NN	_	3	dobj	_	_
6	in	in	_	IN	_	9	case	_	_
7	the	the	_	DT	_	9	det	_	_
8	drinking	drinking	_	NN	_	9	compound	_	_
9	vessel	vessel	_	NN	_	3	nmod	_	_
10	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	countryman	countryman	_	NN	_	3	nsubj	_	_
3	decided	decide	_	VBD	_	0	root	_	_
4	to	to	_	TO	_	5	mark	_	_
5	sip	sip	_	VB	_	3	xcomp	_	_
6	from	from	_	IN	_	9	case	_	_
7	the	the	_	DT	_	9	det	_	_
8	drinking	drinking	_	NN	_	9	compound	_	_
9	vessel	vessel	_	NN	_	5	nmod	_	_
10	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	eagle	eagle	_	NN	_	3	nsubj	_	_
3	spilled	spill	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	6	det	_	_
5	drinking	drinking	_	NN	_	6	compound	_	_
6	vessel	vessel	_	NN	_	3	dobj	_	_
7	.	.	_	.	_	3	punct	_	_

","(ROOT (S (NP (DT An) (NN eagle)) (VP (VP (VBD swooped) (PP (IN toward) (NP (DT a) (NN serpent)))) (CC and) (VP (VBD seized) (NP (PRP it)) (PP (IN in) (NP (NP (NN order)) (PP (IN for) (NP (PRP he))))) (S (VP (TO to) (VP (VB devour) (NP (PRP it))))))) (. .)))
(ROOT (S (S (NP (DT The) (NN eagle)) (VP (VBN fought) (PP (IN with) (NP (DT the) (NN serpent))))) (, ,) (CC and) (S (NP (DT the) (NN serpent)) (VP (VBN coiled) (PP (IN around) (NP (PRP him))))) (. .)))
(ROOT (S (NP (NP (DT A) (NN countryman)) (SBAR (WHNP (WP who)) (S (VP (VBD owned) (NP (DT a) (NN drinking) (NN vessel)))))) (VP (VBD tried) (S (VP (TO to) (VP (VB help) (NP (DT the) (NN eagle) (S (VP (TO to) (VP (VB escape))))))))) (. .)))
(ROOT (S (S (NP (DT The) (NN eagle)) (VP (VBD escaped))) (, ,) (CC and) (S (NP (DT the) (NN countryman)) (VP (VBN freed) (NP (DT the) (NN eagle)) (PP (IN from) (NP (DT the) (NN serpent))))) (. .)))
(ROOT (S (NP (DT The) (NN serpent)) (VP (VBD spat) (NP (DT some) (NN poison)) (PP (IN in) (NP (DT the) (NN drinking) (NN vessel)))) (. .)))
(ROOT (S (NP (DT The) (NN countryman)) (VP (VBD decided) (S (VP (TO to) (VP (VB sip) (PP (IN from) (NP (DT the) (NN drinking) (NN vessel))))))) (. .)))
(ROOT (S (NP (DT The) (NN eagle)) (VP (VBD spilled) (NP (DT the) (NN drinking) (NN vessel))) (. .)))
",fables-03,"1	An	a	_	DT	_	2	det	_	_
2	Eagle	Eagle	_	NNP	_	3	nsubj	_	_
3	swooped	swoop	_	VBD	_	0	root	_	_
4	down	down	_	RP	_	3	compound:prt	_	_
5	upon	upon	_	IN	_	7	case	_	_
6	a	a	_	DT	_	7	det	_	_
7	Serpent	serpent	_	NN	_	3	nmod	_	_
8	and	and	_	CC	_	3	cc	_	_
9	seized	seize	_	VBD	_	3	conj	_	_
10	it	it	_	PRP	_	9	dobj	_	_
11	in	in	_	IN	_	13	case	_	_
12	his	he	_	PRP$	_	13	nmod:poss	_	_
13	talons	talon	_	NNS	_	9	nmod	_	_
14	with	with	_	IN	_	16	case	_	_
15	the	the	_	DT	_	16	det	_	_
16	intention	intention	_	NN	_	9	nmod	_	_
17	of	of	_	IN	_	18	mark	_	_
18	carrying	carry	_	VBG	_	16	acl	_	_
19	it	it	_	PRP	_	18	dobj	_	_
20	off	off	_	RP	_	18	compound:prt	_	_
21	and	and	_	CC	_	18	cc	_	_
22	devouring	devour	_	VBG	_	18	conj	_	_
23	it	it	_	PRP	_	22	dobj	_	_
24	.	.	_	.	_	3	punct	_	_

1	But	but	_	CC	_	6	cc	_	_
2	the	the	_	DT	_	3	det	_	_
3	Serpent	Serpent	_	NNP	_	6	nsubj	_	_
4	was	be	_	VBD	_	6	cop	_	_
5	too	too	_	RB	_	6	advmod	_	_
6	quick	quick	_	JJ	_	0	root	_	_
7	for	for	_	IN	_	8	case	_	_
8	him	he	_	PRP	_	6	nmod	_	_
9	and	and	_	CC	_	6	cc	_	_
10	had	have	_	VBD	_	13	aux	_	_
11	its	its	_	PRP$	_	12	nmod:poss	_	_
12	coils	coil	_	NNS	_	13	nsubj	_	_
13	round	round	_	VBP	_	6	conj	_	_
14	him	he	_	PRP	_	13	dobj	_	_
15	in	in	_	IN	_	17	case	_	_
16	a	a	_	DT	_	17	det	_	_
17	moment	moment	_	NN	_	13	nmod	_	_
18	;	;	_	:	_	6	punct	_	_
19	and	and	_	CC	_	6	cc	_	_
20	then	then	_	RB	_	22	advmod	_	_
21	there	there	_	EX	_	22	expl	_	_
22	ensued	ensue	_	VBD	_	6	conj	_	_
23	a	a	_	DT	_	25	det	_	_
24	life-and-death	life-and-death	_	JJ	_	25	amod	_	_
25	struggle	struggle	_	NN	_	22	dobj	_	_
26	between	between	_	IN	_	28	case	_	_
27	the	the	_	DT	_	28	det	_	_
28	two	two	_	CD	_	25	nmod	_	_
29	.	.	_	.	_	6	punct	_	_

1	A	a	_	DT	_	2	det	_	_
2	countryman	countryman	_	NN	_	12	nsubj	_	_
3	,	,	_	,	_	2	punct	_	_
4	who	who	_	WP	_	7	nsubj	_	_
5	was	be	_	VBD	_	7	cop	_	_
6	a	a	_	DT	_	7	det	_	_
7	witness	witness	_	NN	_	2	acl:relcl	_	_
8	of	of	_	IN	_	10	case	_	_
9	the	the	_	DT	_	10	det	_	_
10	encounter	encounter	_	NN	_	7	nmod	_	_
11	,	,	_	,	_	2	punct	_	_
12	came	come	_	VBD	_	0	root	_	_
13	to	to	_	TO	_	15	case	_	_
14	the	the	_	DT	_	15	det	_	_
15	assistance	assistance	_	NN	_	12	nmod	_	_
16	of	of	_	IN	_	18	case	_	_
17	the	the	_	DT	_	18	det	_	_
18	Eagle	Eagle	_	NNP	_	15	nmod	_	_
19	,	,	_	,	_	12	punct	_	_
20	and	and	_	CC	_	12	cc	_	_
21	succeeded	succeed	_	VBD	_	12	conj	_	_
22	in	in	_	IN	_	23	mark	_	_
23	freeing	free	_	VBG	_	21	advcl	_	_
24	him	he	_	PRP	_	23	dobj	_	_
25	from	from	_	IN	_	27	case	_	_
26	the	the	_	DT	_	27	det	_	_
27	Serpent	Serpent	_	NNP	_	23	nmod	_	_
28	and	and	_	CC	_	23	cc	_	_
29	enabling	enable	_	VBG	_	23	conj	_	_
30	him	he	_	PRP	_	29	dobj	_	_
31	to	to	_	TO	_	32	mark	_	_
32	escape	escape	_	VB	_	29	xcomp	_	_
33	.	.	_	.	_	12	punct	_	_

1	In	in	_	IN	_	2	case	_	_
2	revenge	revenge	_	NN	_	0	root	_	_
3	the	the	_	DT	_	5	det	_	_
4	Serpent	Serpent	_	NNP	_	5	compound	_	_
5	spat	spat	_	NN	_	2	dep	_	_
6	some	some	_	DT	_	5	dep	_	_
7	of	of	_	IN	_	9	case	_	_
8	his	he	_	PRP$	_	9	nmod:poss	_	_
9	poison	poison	_	NN	_	6	nmod	_	_
10	into	into	_	IN	_	14	case	_	_
11	the	the	_	DT	_	12	det	_	_
12	man	man	_	NN	_	14	nmod:poss	_	_
13	's	's	_	POS	_	12	case	_	_
14	drinking-horn	drinking-horn	_	NN	_	5	nmod	_	_
15	.	.	_	.	_	2	punct	_	_

1	Heated	heated	_	JJ	_	9	ccomp	_	_
2	with	with	_	IN	_	4	case	_	_
3	his	he	_	PRP$	_	4	nmod:poss	_	_
4	exertions	exertion	_	NNS	_	1	nmod	_	_
5	,	,	_	,	_	9	punct	_	_
6	the	the	_	DT	_	7	det	_	_
7	man	man	_	NN	_	9	nsubj	_	_
8	was	be	_	VBD	_	9	aux	_	_
9	about	about	_	IN	_	0	root	_	_
10	to	to	_	TO	_	11	mark	_	_
11	slake	slake	_	VB	_	9	xcomp	_	_
12	his	he	_	PRP$	_	13	nmod:poss	_	_
13	thirst	thirst	_	NN	_	11	dobj	_	_
14	with	with	_	IN	_	16	case	_	_
15	a	a	_	DT	_	16	det	_	_
16	draught	draught	_	NN	_	11	nmod	_	_
17	from	from	_	IN	_	19	case	_	_
18	the	the	_	DT	_	19	det	_	_
19	horn	horn	_	NN	_	16	nmod	_	_
20	,	,	_	,	_	11	punct	_	_
21	when	when	_	WRB	_	24	advmod	_	_
22	the	the	_	DT	_	23	det	_	_
23	Eagle	Eagle	_	NNP	_	24	nsubj	_	_
24	knocked	knock	_	VBD	_	11	advcl	_	_
25	it	it	_	PRP	_	24	dobj	_	_
26	out	out	_	IN	_	29	case	_	_
27	of	of	_	IN	_	29	case	_	_
28	his	he	_	PRP$	_	29	nmod:poss	_	_
29	hand	hand	_	NN	_	24	nmod	_	_
30	,	,	_	,	_	11	punct	_	_
31	and	and	_	CC	_	11	cc	_	_
32	spilled	spill	_	VBD	_	11	conj	_	_
33	its	its	_	PRP$	_	34	nmod:poss	_	_
34	contents	contents	_	NNS	_	32	dobj	_	_
35	upon	upon	_	IN	_	37	case	_	_
36	the	the	_	DT	_	37	det	_	_
37	ground	ground	_	NN	_	32	nmod	_	_
38	.	.	_	.	_	9	punct	_	_

","(ROOT (S (NP (DT An) (NNP Eagle)) (VP (VP (VBD swooped) (PRT (RP down)) (PP (IN upon) (NP (DT a) (NN Serpent)))) (CC and) (VP (VBD seized) (NP (PRP it)) (PP (IN in) (NP (PRP$ his) (NNS talons))) (PP (IN with) (NP (NP (DT the) (NN intention)) (PP (IN of) (S (VP (VP (VBG carrying) (NP (PRP it)) (PRT (RP off))) (CC and) (VP (VBG devouring) (NP (PRP it)))))))))) (. .)))
(ROOT (S (CC But) (NP (DT the) (NNP Serpent)) (VP (VP (VBD was) (ADJP (RB too) (JJ quick)) (PP (IN for) (NP (PRP him)))) (CC and) (VP (VBD had) (S (S (NP (PRP$ its) (NNS coils)) (VP (VBP round) (NP (PRP him)) (PP (IN in) (NP (DT a) (NN moment))))) (: ;) (CC and) (S (ADVP (RB then)) (NP (EX there)) (VP (VBD ensued) (NP (NP (DT a) (JJ life-and-death) (NN struggle)) (PP (IN between) (NP (DT the) (CD two))))))))) (. .)))
(ROOT (S (NP (NP (DT A) (NN countryman)) (, ,) (SBAR (WHNP (WP who)) (S (VP (VBD was) (NP (NP (DT a) (NN witness)) (PP (IN of) (NP (DT the) (NN encounter))))))) (, ,)) (VP (VP (VBD came) (PP (TO to) (NP (NP (DT the) (NN assistance)) (PP (IN of) (NP (DT the) (NNP Eagle)))))) (, ,) (CC and) (VP (VBD succeeded) (PP (IN in) (S (VP (VP (VBG freeing) (NP (PRP him)) (PP (IN from) (NP (DT the) (NNP Serpent)))) (CC and) (VP (VBG enabling) (S (NP (PRP him)) (VP (TO to) (VP (VB escape)))))))))) (. .)))
(ROOT (FRAG (PP (IN In) (NP (NP (NN revenge)) (SBAR (S (VP (NP (DT the) (NNP Serpent) (NN spat)) (NP (NP (DT some)) (PP (IN of) (NP (PRP$ his) (NN poison)))) (PP (IN into) (NP (NP (DT the) (NN man) (POS 's)) (NN drinking-horn)))))))) (. .)))
(ROOT (S (S (ADJP (JJ Heated) (PP (IN with) (NP (PRP$ his) (NNS exertions))))) (, ,) (NP (DT the) (NN man)) (VP (VBD was) (VP (IN about) (S (VP (TO to) (VP (VB slake) (NP (PRP$ his) (NN thirst)) (PP (IN with) (NP (DT a) (NN draught))) (PP (IN from) (NP (NP (DT the) (NN horn)) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (DT the) (NNP Eagle)) (VP (VP (VBD knocked) (NP (PRP it)) (PRT (IN out)) (PP (IN of) (NP (PRP$ his) (NN hand)))) (, ,) (CC and) (VP (VBD spilled) (NP (PRP$ its) (NNS contents)) (PP (IN upon) (NP (DT the) (NN ground)))))))))))))) (. .)))
","An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it. But the Serpent was too quick for him and had its coils round him in a moment; and then there ensued a life-and-death struggle between the two. A countryman, who was a witness of the encounter, came to the assistance of the Eagle, and succeeded in freeing him from the Serpent and enabling him to escape. In revenge the Serpent spat some of his poison into the man's drinking-horn. Heated with his exertions, the man was about to slake his thirst with a draught from the horn, when the Eagle knocked it out of his hand, and spilled its contents upon the ground."
The narrator placed the bowl on the deck in order for Benjamin to drink the bowl's water. The bowl was popular. The birds drank the bowl's water. The birds bathed themselves in the bowl. The birds organized themselves on the deck's railing in order for the birds to wait. The squirrels drank the bowl's water. The squirrel approached the bowl. The squirrel was startled. The squirrel leaped because the squirrel was startled. The squirrel fell over the deck's railing because the squirrel leaped because the squirrel was startled. The squirrel held the deck's railing with the squirrel's paw. The squirrel's paw slipped off the deck's railing. The squirrel fell.,"1	The	the	_	DT	_	2	det	_	_
2	narrator	narrator	_	NN	_	3	nsubj	_	_
3	placed	place	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	bowl	bowl	_	NN	_	3	dobj	_	_
6	on	on	_	IN	_	8	case	_	_
7	the	the	_	DT	_	8	det	_	_
8	deck	deck	_	NN	_	3	nmod	_	_
9	in	in	_	IN	_	14	mark	_	_
10	order	order	_	NN	_	9	mwe	_	_
11	for	for	_	IN	_	14	mark	_	_
12	Benjamin	Benjamin	_	NNP	_	14	nsubj	_	_
13	to	to	_	TO	_	14	mark	_	_
14	drink	drink	_	VB	_	3	advcl	_	_
15	the	the	_	DT	_	16	det	_	_
16	bowl	bowl	_	NN	_	18	nmod:poss	_	_
17	's	's	_	POS	_	16	case	_	_
18	water	water	_	NN	_	14	dobj	_	_
19	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	bowl	bowl	_	NN	_	4	nsubj	_	_
3	was	be	_	VBD	_	4	cop	_	_
4	popular	popular	_	JJ	_	0	root	_	_
5	.	.	_	.	_	4	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	birds	bird	_	NNS	_	3	nsubj	_	_
3	drank	drink	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	bowl	bowl	_	NN	_	7	nmod:poss	_	_
6	's	's	_	POS	_	5	case	_	_
7	water	water	_	NN	_	3	dobj	_	_
8	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	birds	bird	_	NNS	_	3	nsubj	_	_
3	bathed	bath	_	VBN	_	0	root	_	_
4	themselves	themselves	_	PRP	_	3	dobj	_	_
5	in	in	_	IN	_	7	case	_	_
6	the	the	_	DT	_	7	det	_	_
7	bowl	bowl	_	NN	_	3	nmod	_	_
8	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	birds	bird	_	NNS	_	3	nsubj	_	_
3	organized	organize	_	VBN	_	0	root	_	_
4	themselves	themselves	_	PRP	_	3	dobj	_	_
5	on	on	_	IN	_	9	case	_	_
6	the	the	_	DT	_	7	det	_	_
7	deck	deck	_	NN	_	9	nmod:poss	_	_
8	's	's	_	POS	_	7	case	_	_
9	railing	railing	_	NN	_	3	nmod	_	_
10	in	in	_	IN	_	16	mark	_	_
11	order	order	_	NN	_	10	mwe	_	_
12	for	for	_	IN	_	16	mark	_	_
13	the	the	_	DT	_	14	det	_	_
14	birds	bird	_	NNS	_	16	nsubj	_	_
15	to	to	_	TO	_	16	mark	_	_
16	wait	wait	_	VB	_	3	advcl	_	_
17	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	squirrels	squirrel	_	NNS	_	3	nsubj	_	_
3	drank	drink	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	bowl	bowl	_	NN	_	7	nmod:poss	_	_
6	's	's	_	POS	_	5	case	_	_
7	water	water	_	NN	_	3	dobj	_	_
8	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	squirrel	squirrel	_	NN	_	3	nsubj	_	_
3	approached	approach	_	VBD	_	0	root	_	_
4	the	the	_	DT	_	5	det	_	_
5	bowl	bowl	_	NN	_	3	dobj	_	_
6	.	.	_	.	_	3	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	squirrel	squirrel	_	NN	_	4	nsubjpass	_	_
3	was	be	_	VBD	_	4	auxpass	_	_
4	startled	startle	_	VBN	_	0	root	_	_
5	.	.	_	.	_	4	punct	_	_

1	The	the	_	DT	_	2	det	_	_
2	squirrel	squirrel	_	NN	_	3	nsubj	_	_
3	leaped	leap	_	VBD	_	0	root	_	_
4	because	because	_	IN	_	8	mark	_	_
5	the	the	_	DT	_	6	det	_	_
